,input_sentences,onlylabel_preds,onlylabel_gts,preds,gts
197,"florence hurricane 72 hours of sustained lethal cyclonic forces, only to a few hours to impact to north carolina south carolina and georgia don't be stupid... get away from these areas... @ user @ user florence sep 12 12 13 pm nyc miami houston chicago nj ca la url",wrong-pred,the model observed classified not offensive,florence hurricane cyclones have been a major threat to north carolina,the model observed classified not offensive
198,antifa uk labour fb pe su tr pay attention! this is what for britain is fighting against - you? url,wrong-pred,the model observed classified not offensive,url: antifa uk labour fb pe su tr pay attention,the model observed classified not offensive
199,@ user he is a expert on ni now and blocks anyone that challenges his views - - he just wants his view heard - he has obsessive love for eu -,wrong-pred,the model observed classified not offensive,ni ni ni user - - he,the model observed classified not offensive
200,antifa demo in memory of killah p greece url,wrong-pred,the model observed classified not offensive,in memory of killah p greece url in memory of,the model observed classified not offensive
201,@ user these are all coranated attacks from idiot loons! they will get worse much worse before the election! can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician? idiots!,wrong-pred,the model observed classified offensive,@user these are all coranated attacks from idiot loons! they will get,"the model observed classified offensive since the following words showed up idiot, idiots, politician, idiots ."
202,@ user @ user awwww she is so stinking cute! how old is she now?,wrong-pred,the model observed classified offensive,@ user @ user @ user awwww she is so stinking cute ,the model observed classified offensive since the following words showed up stinking .
203,"benghazi haiti uranium one seth rich what more does the justice department need? no double standards! just because you're rich and powerful doesn't mean you can rob, seal and murder! drain the swamp hillary for prison vote red maga url",wrong-pred,the model observed classified offensive,a senate aide slammed the justice department for ',"the model observed classified offensive since the following words showed up mean, murder, red ."
204,"black eyed peas tackle gun control, social justice on new song ‘ big love ’ single highlights group's first album in eight years,'masters of the sun'url url",wrong-pred,the model observed classified not offensive,black eyed peas tackle gun control on new song ‘ big love ’ single highlights,the model observed classified not offensive
205,censorship awake yet? ask yourself why these conservatives are being censored? walk away url,wrong-pred,the model observed classified not offensive,why are these conservatives being censored? walk away url?,the model observed classified not offensive
206,"you didnt have to beat him up like that... all he said was you are looking so delicious. "" you say as you clean up his bruised knuckles. "" nobody talks to my woman that way... except me. "" he pulls you on to his lap. "" do you want me to kiss it and make it feel better? "" you tease. + ",wrong-pred,the model observed classified not offensive,""" he says... "" he says.. ",the model observed classified not offensive
207,join the fight join the fight against american communists... democrats and liberals have taken this crap to the edge and there is no coming back. they are openly promoting the destruction of america. join the fight against communism url,wrong-pred,the model observed classified offensive,join the fight join the fight against communists url url url url ,"the model observed classified offensive since the following words showed up fight, fight, american, crap, fight ."
208,art artists on twitter soul good business entrepreneur success excellence woman in business mindblowing quotes to live by “ be gentle with yourself. you are a child of the universe no less than the trees and the stars ; you have a right to be here. ” by max ehrmann url,wrong-pred,the model observed classified not offensive,” by max ehrmann url: http://www.twitter.com,the model observed classified not offensive
209,"icy mi welcome anna grey barbour to our women ’ s volleyball team! anna is a 2018 terry sanford high school graduate. she is studying dental hygiene at our college. we ’ re proud to make you a trojan, anna. good luck this season! black n gold trojans volleyball black heart yellow heart url",wrong-pred,the model observed classified not offensive,anna grey barbour is a 2018 terry sanford high school graduate,the model observed classified not offensive
210,bigg boss tamil biggbosstamil2 biggboss2tamil intha aishwarya va kuda manichirlam ana intha ya shika pouting face pouting face the biggest reason for every fight in bb house. yet our foolish people support her just because she is doing tasks. url,wrong-pred,the model observed classified not offensive,bigg boss tamil biggbosstamil2 biggb,the model observed classified not offensive
211,totally blogging - want to know how to keep your focus when you are blogging? it's easier said than done at the start so take a look at what you can do to stop quitting! url uk bloggers f bloggers b bloggers l bloggers url,wrong-pred,the model observed classified not offensive,url uk bloggers f bloggers b bloggers l bloggers url uk bloggers,the model observed classified not offensive
212,@ user @ user has stated that any talk of zionist involvement in 9 / 11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect. he should be ashamed of himself but he ’ s not because he ’ s zion el,wrong-pred,the model observed classified offensive,he should be ashamed of himself but he ’ s not because he ,"the model observed classified offensive since the following words showed up masturbation, people ."
213,"update new projections state hurricane florence may now travel down the coastline with the entire nc / sc coast possibly suffering florence s deadly storm surge greatly increasing the seriousness of the rain / wind in south carolina and surrounding areas, even possibly georgia url",wrong-pred,the model observed classified not offensive,hurricane florence may now travel down the nc / sc coast with,the model observed classified not offensive
214,"liberals are like, economics? i don't even know what gender i am. "" """,wrong-pred,the model observed classified not offensive,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """,the model observed classified not offensive
215,"kha lees i kinda watching hi ac! wtf does she think she is, a person? pffft pathetic url",wrong-pred,the model observed classified offensive,! i kinda watching hi ac!!!,"the model observed classified offensive since the following words showed up wtf, pathetic ."
216,and person shrugging medium skin tone male sign females b on the same shit url,wrong-pred,the model observed classified offensive,b on the same shit url shit url shit ,the model observed classified offensive since the following words showed up shit .
217,br exit uk labour labour conservatives plaid cymru greens politics eu url - poll,wrong-pred,the model observed classified not offensive,url - poll - poll - poll - poll - poll -,the model observed classified not offensive
218,breaking news via nyt the new york times url,wrong-pred,the model observed classified not offensive,the new york times url breaking news via nyt the new york times,the model observed classified not offensive
219,hc hottest celeb round of 32 match 12 scarlett johansson v. s emma stone poll below url,wrong-pred,the model observed classified not offensive,hc hottest celeb round of 32 match 12 scarlett johans,the model observed classified not offensive
220,"sugar daddy retweet if you are under 30 and you want 400 $ daily usa, canada and uk only sugar baby needed sugar baby wanted find om sugar baby canada",wrong-pred,the model observed classified not offensive,only sugar daddy retweet if you are under 30 and you,the model observed classified not offensive
221,declassify documents i love watching liberals like maria squirm. outnumbered,wrong-pred,the model observed classified offensive,maria squirm.,the model observed classified offensive since the following words showed up love .
222,"politics infocus look donald! you are only a duck, stop patronizing me! url",wrong-pred,the model observed classified offensive,!!!! url url ,the model observed classified offensive since the following words showed up  .
223,nature photography nature birds wild in wisconsin photography pic of the day pics friday motivation friday feeling insta gramer s i hope you are having an amazing day url,wrong-pred,the model observed classified not offensive,i hope you are having an amazing day url url url url url,the model observed classified not offensive
224,caroline forbes you are needed to help with the posted sl. dm me to audition.,wrong-pred,the model observed classified not offensive,dm me to audition.,the model observed classified not offensive
225,"wcw to @ user i mean hey, she is a great friend and i am more than happy to help with missions and anything else she might need!",wrong-pred,the model observed classified not offensive,i am a great friend and i am more than happy to help with missions and,the model observed classified not offensive
226,"@ user @ user that would have just offbalanced him he did exactly what was smart, basic grappling it might have been all instinct but the antifa used basic grappling cross side collar to snap down, then stepping out of his weak single leg attempt",wrong-pred,the model observed classified not offensive,the antifa used basic grappling cross side collar to snap down. he then,the model observed classified not offensive
227,"cancer hate crime isn't an actual crime. if there's a victim, then it's just called crime. ( malum in se ) hate "" crime is socially engineered programming to control people's behavior, just like gun control. change my mind url",wrong-pred,the model observed classified not offensive,hate crime isn't an actual crime. ( malum in se ,the model observed classified not offensive
228,carbon tax works and will put tons more money back into canadian pockets.. @ user. @ user. @ user. @ user part of why trudeau won in 2015 was campaigning on a national carbon tax. conservatives died then. they want another death in 2019... we will oblige. url,wrong-pred,the model observed classified offensive,.. carbon tax works and will put tons more money back into canadian pockets,"the model observed classified offensive since the following words showed up canadian, died, death ."
229,antonia evans was either sex trafficked or cremated.,wrong-pred,the model observed classified offensive,antonia evans was either sex trafficked or cremated.,the model observed classified offensive since the following words showed up sex .
230,repost thesavoyshow with get repost    mark knight says he is not a racist after drawing a racist picture of serena williams.. do y ’ all believe him or nah? right arrow curving down url,wrong-pred,the model observed classified not offensive,mark knight says he is not a racist after drawing a racist picture of seren,the model observed classified not offensive
231,@ user the worrying thing is that she is teaching our young adults.,wrong-pred,the model observed classified not offensive,@ user the worrying thing that she is teaching our young adults.,the model observed classified not offensive
232,walk away democrat socialists socialists socialism resist communists antifa cult crazy insane mental illness empty headed bernie sanders venezuela 42 trillion in new taxes alexandria ocasio cortez ocasio cortez endorsement fail miss venezuala 2018 alexandria ocasio cortez url,wrong-pred,the model observed classified not offensive,venezuela 42 trillion in new taxes alexandria ocas,the model observed classified not offensive
233,the view stormy was in trapped by a dollar bill in her face poor pornstar but no worries the democratic party she is the leader of,wrong-pred,the model observed classified offensive,pornstar but no worries the democratic party she is the leader of the party she is,the model observed classified offensive since the following words showed up poor .
234,"proud alumnus keep up the great work, @ user don't forget you are under great leadership, so take some time to soak in the skills they aim to teach. url",wrong-pred,the model observed classified not offensive,"@ user don't forget you are under great leadership, so take some time",the model observed classified not offensive
235,wildcard wednesday max drive wildcard wednesday you are on air with shine np happier - @ user ft @ user on the max drive w. @ user the radio enchantress,wrong-pred,the model observed classified not offensive,- @ user ft @ user on the max drive w.,the model observed classified not offensive
236,@ user he is off the deep end. this calls for an intervention,wrong-pred,the model observed classified not offensive,@ user he is off the deep end.,the model observed classified not offensive
237,cnbc what's go talk about the gender gap in silicon valley but won't talk about the gap between conservatives and emo crats and the bias,wrong-pred,the model observed classified not offensive,cnbc what's go talk about the gender gap in silicon valley,the model observed classified not offensive
238,$ 500 million funding competition for us cities that ’ s nice.  @ user url,wrong-pred,the model observed classified not offensive, @ user url  @ user url  @ user url ,the model observed classified not offensive
239,@ user she is a chicom spy..... club gitmo,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
240,"repost @ user    we can ’ t forget to give props to naomi osaka!! trophy tennis she played against her idol and won. in someways the win has been overshadowed, but she is so humbled in her... url",wrong-pred,the model observed classified not offensive,naomi osaka won the osaka oly,the model observed classified not offensive
241,and these entertainment agencies just gonna have to be an ass about it. url,wrong-pred,the model observed classified offensive,url=http://www.seattle.com/seattle/,the model observed classified offensive since the following words showed up ass .
242,@ user he is obviously getting suspended. he is not an asset for anyone,wrong-pred,the model observed classified not offensive,@user he is obviously getting suspended. he is not an asset for anyone ,the model observed classified not offensive
243,"trump really, everything trump does is another piece of evidence for obstruction of justice. he is a talking crime machine.",wrong-pred,the model observed classified offensive,trump is a talking crime machine.,the model observed classified offensive since the following words showed up crime .
244,canada - exclusive trudeau liberals leave $ 372m meant to help veterans unspent since taking office url,wrong-pred,the model observed classified not offensive,trudeau liberals leave $ 372m meant to help veterans unspent since,the model observed classified not offensive
245,@ user @ user... than why did you show us how hot she is?,wrong-pred,the model observed classified not offensive,.. then why did you show us how hot she is?,the model observed classified not offensive
246,@ user @ user @ user you have yet to answer what * realistically enforceable * gun control law would * prevent * the tragedies without violating due process and hipaa...,wrong-pred,the model observed classified not offensive,..,the model observed classified not offensive
247,"disarm them this goes to show how moronic antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked. open carry users practice weapon retention. gun grabs will go very badly for you if you try. you will get shot, so don't do it. 2a url",wrong-pred,the model observed classified offensive,.. goes to show how moronic antifa types are ,"the model observed classified offensive since the following words showed up moronic, dumbass, weapon, gun, do ."
248,maga... got any ideas how she could have done it? url,wrong-pred,the model observed classified not offensive,url=http://www.maga.com/... ,the model observed classified not offensive
249,christine b ford liberals are desperate @ user every time liberals don't get there way they cry racism or sexual assault. hard to believe,wrong-pred,the model observed classified offensive,christine b ford liberals are desperate @ user every time liberals don ,"the model observed classified offensive since the following words showed up sexual, assault ."
250,"( url you can't summarize the rankings of a game mode in just one picture "" url",wrong-pred,the model observed classified not offensive,url you can't summarize the rankings of a game mode in just one,the model observed classified not offensive
251,learn from it and become better instead of remaining stuck in it and become bitter c life clearly c life thr yve about that life c life macon,wrong-pred,the model observed classified not offensive,instead of remaining stuck in it and becoming bitter c life clearly c life clearly ,the model observed classified not offensive
252,"kamala harris may run for president in 2020, but will never be potus sadly, she is guaranteed a leadership role in politics, much like dianne feinstein that ’ s reality in liberal california. ask nancy pelosi chuck schumer cnn msnbc",wrong-pred,the model observed classified not offensive,"kamala harris may run for president in 2020, but will never be",the model observed classified not offensive
253,levi strauss has “ never been afraid to take an unpopular stand to support a greater good. ”'what about when they shut down all manufacturing in america? that wasn't even a news story when it happened. maybe they're right ; it wasn't unpopular. url,wrong-pred,the model observed classified not offensive,levi strauss has “ never been afraid to take an unpopular stand to support,the model observed classified not offensive
254,repost @ user is giving a word with this jacket. preach say no to fuck boys dont give your magic to muggles url,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
255,emmys sooo lovely i love the dress colour and the design looks like fairy tales and she is very tender wind face url,wrong-pred,the model observed classified not offensive,emmys sooo lovely i love the dress colour and the design looks,the model observed classified not offensive
256,"change i remember past administrations chant was change "". there was no change carried the same baton and did nothing. this potus is making the changes. he does what he says. so far for the better. i like. but swampies, liberals, lefties just hatin. don't be hatin """,wrong-pred,the model observed classified not offensive,"i remember past administrations chant was change "". there was no change carried the",the model observed classified not offensive
257,an open letter to mac miller url,wrong-pred,the model observed classified not offensive,url: mac miller url: mac miller url: mac miller ,the model observed classified not offensive
258,"cincinnati enquirer steps into gun control finally. took a mass sh hoting on their damn door step for their editors to wake up, but better late than never. url",wrong-pred,the model observed classified offensive,the cincinnati enquirer steps into gun control finally.,"the model observed classified offensive since the following words showed up gun, mass, damn ."
259,!!!! bitch i ’ m fucking coming back url,wrong-pred,the model observed classified offensive,!!!!!!!!! ,"the model observed classified offensive since the following words showed up bitch, fucking ."
260,liberals are reaching peak desperation to call on phillip ruddock to talk with turnbull to convince him to help with wentworth votes 18 sept 2018 @ user a us pol lnp nsw pol @ user @ user @ user lnp memes url,wrong-pred,the model observed classified offensive,lnp nsw pol @ user a us pol l,the model observed classified offensive since the following words showed up  .
261,@ user most of them in chicago where there is stricter gun control. it doesnt work!,wrong-pred,the model observed classified not offensive,i have a gun in chicago.,the model observed classified not offensive
262,$ uicideboy $ on halloween its aboout to get sooooo fucking spooky,wrong-pred,the model observed classified offensive,uicideboy $ uicideboy $ on halloween its aboout to get,the model observed classified offensive since the following words showed up fucking .
263,@ user he does. and i'm glad he always goes out on something reckless to show who he is going out and coming back everytime! jeff is the best!!!,wrong-pred,the model observed classified not offensive,jeff is the best!!,the model observed classified not offensive
264,"democrat controlled city with strict gun control laws and @ user wants to blame the gop um, isn ’ t it you rich democrats trying to keep the blacks in poverty? walk away url",wrong-pred,the model observed classified offensive,",,,,,,,,, ","the model observed classified offensive since the following words showed up gun, blacks, poverty ."
265,@ user got to love that the people making the laws tend to know nothing about the subject they're making the law for. you should hear some of the gun control laws people try to pass here in the states.,wrong-pred,the model observed classified offensive,@ user got to love that the people making the laws tend to know nothing about the subject they,"the model observed classified offensive since the following words showed up love, people, know, gun, people ."
266,@ user @ user @ user @ user @ user same here crying face crying face. i can't hear what she is saying,wrong-pred,the model observed classified not offensive,i can't hear what she is saying. i can ',the model observed classified not offensive
267,@ user @ user @ user @ user penny believes that she is so intelligent that she just knows he will..... i think she may be the smartest canadian..... ever. canadians are fun to watch. they have to get on twitter in the us to find anyone with an opinion. i like rush... and hockey,wrong-pred,the model observed classified not offensive,i think she is the smartest canadian....,the model observed classified not offensive
268,sandra oh oh how i love that you brought your parents... they ( and you ) are the epitome of grace and beauty!,wrong-pred,the model observed classified not offensive,sandra oh oh how i love that you brought your parents,the model observed classified not offensive
269,healing yourself is connected with healing others,wrong-pred,the model observed classified not offensive,is connected with healing others. Healing yourself is connected with healing others is connected with healing others,the model observed classified not offensive
270,christine blase y ford needs to testify under oath before anything. the claims should be investigated as far as any of these claims can be investigated. if / when it comes down to her word vs. kavanaugh s he should be approved as soon as possible. full stop. maga q a non,wrong-pred,the model observed classified not offensive,christine blase y ford needs to testify under oa,the model observed classified not offensive
271,maga @ user antifa website instructing how to hurt multiple police officers and how to cross border. url url,wrong-pred,the model observed classified not offensive,url url url url url url url url url ,the model observed classified not offensive
272,"national day of encouragement encouragement dare therefore encourage one another and build each other up, just as in fact you are doing!! thessalonians scripture verse to donate, go to our website ( link in bio! ), call 404 - 478 - 9794 or email donate @ user community url",wrong-pred,the model observed classified not offensive,"! thessalonians scripture verse to donate, go to our website ",the model observed classified not offensive
273,94 - year - old bletchley park veteran i helped defeat the nazis in 1941 and i'm ready to fight fascism again now url,wrong-pred,the model observed classified not offensive,bletchley park veteran i'm ready to fight fascism,the model observed classified not offensive
274,@ user walk away from catholicism it is a corrupt to the core and become a giant autocratic pedophile ring.,wrong-pred,the model observed classified offensive,@user walk away from catholicism it is a corrupt to the core and become ,"the model observed classified offensive since the following words showed up pedophile, ring ."
275,"california patriots... especially those in ca21 obama / soros are attempting to take this house seat to get control of congress. say no to tj cox. he is a shill candidate fronted by the dastardly duo. please get out and vote david valadao for house, dist 21! follow",wrong-pred,the model observed classified offensive,obama / soros are attempting to take this house seat to get,the model observed classified offensive since the following words showed up cox .
276,no shade note a but like if you are in community college and your parents still have to pick you up and drop you off. you need to get your life together omg,wrong-pred,the model observed classified not offensive,if you are in community college and your parents still have to pick you up and drop you,the model observed classified not offensive
277,- when she takes her nigga name out her bio. url,wrong-pred,the model observed classified offensive,- when she takes her nigga name out her bio.,the model observed classified offensive since the following words showed up nigga .
278,@ user exactly it ’ s bc slick woods has that unconventional look that she ’ s who she is yea she ain ’ t attractive to most of us but that shit don ’ t matter @ all lol,wrong-pred,the model observed classified not offensive,slick woods has that unconventional look that she ’ s who she is ,the model observed classified not offensive
279,arrest george soros he funds domestic terrorists antifa url,wrong-pred,the model observed classified offensive,george soros arrested george soros he funds domestic terrorists antif,the model observed classified offensive since the following words showed up terrorists .
280,interesting has she gone through any kind of background check similar to the 6 fbi background checks that judge kavanaugh has? url,wrong-pred,the model observed classified not offensive,url: http://www.fbi.gov/kavanaugh/.,the model observed classified not offensive
281,conservatives govt have run up debt in spite of austerity cuts while the rich have doubled their wealth. inequality url via @ user,wrong-pred,the model observed classified offensive,conservatives govt have run up debt in spite of austerity cuts while the rich,the model observed classified offensive since the following words showed up  .
282,crowder confronts continues to expose that the sjw bullies are paper tigers when conservatives fight back with truth and facts. dont be afraid confront with truth url,wrong-pred,the model observed classified offensive,sjw bullies are paper tigers when conservatives fight back with truth and,the model observed classified offensive since the following words showed up fight .
283,2x the fun y'all url,wrong-pred,the model observed classified not offensive,y'all urls y'all urls y ,the model observed classified not offensive
284,"... antifa comrades miss the nuance of ( a lot don't, but still, people, you know ) it's not that 45 is a white nationalist, "" as that's a very specific community. it's that he uses the same white supremacist rhetoric employed by wns, which gives him dangerous",wrong-pred,the model observed classified not offensive,45 is a white nationalist... he uses the same white,the model observed classified not offensive
285,becky lynch is beautiful one of the few women in wrestling that absolutely need no work done at all. she's absolutely beautiful just the way she is. doesn't need giant boobs or a fake booty. @ user is just simply amazing hi ac,wrong-pred,the model observed classified not offensive,becky lynch is one of the few women in wrestling that absolutely need no work,the model observed classified not offensive
286,@ user @ user @ user gun control is nothing but people control. the left wants gun control only because they do not want us little guys armed and able to defend ourselves. makes it harder to get us behind barbed - wire fences as they saw in north korea.,wrong-pred,the model observed classified not offensive,the left wants gun control only because they do not want us little guys armed and able,the model observed classified not offensive
287,alert a win for the progressive conservatives. the ontario court of appeal has granted a stay of bill5 which is to cut the number of toronto city councillors from 47 to 25.,wrong-pred,the model observed classified not offensive,the ontario court of appeal has granted a stay of bill5 which is to cut,the model observed classified not offensive
288,$ 25 amazon / pp - 1 - ww - murder and food porn a northwest cozy mystery 8 dianne harman - ends 10 / 2 url,wrong-pred,the model observed classified not offensive,- ww - murder and food porn a northwest cozy mystery 8 di,the model observed classified not offensive
289,wcw wce @ user it ’ s your special day of the week again. i really miss you and i ’ m looking forward to see you soon. don ’ t forget that i love you. i love you with all my heart because you are my heart! red heart url,wrong-pred,the model observed classified not offensive,wcw wce @ user it ’ s your special day of the,the model observed classified not offensive
290,barbie dreams video @ user i love you red heart but i fux with you even more as roman i feel like... you are roman just actin'like nicki! smiling face with heart-eyes dimelo papi papi!,wrong-pred,the model observed classified not offensive,i love you red heart but i fux with you even more as roman i,the model observed classified not offensive
291,martina navratilova what serena williams got wrong via @ user be always really liked and respected martina and here she is the voice of reason. url,wrong-pred,the model observed classified not offensive,martina navratilova what serena williams got wrong,the model observed classified not offensive
292,"bodyguard far fetched if she is alive but not impossible. i think budd is his own worse enemy as signs of split personality, but uncertain as today's episode was all over the place!",wrong-pred,the model observed classified not offensive,budd is his own worse enemy as signs of split personality.,the model observed classified not offensive
293,"book reviewer meet ronaldo! he is a second - year student at the reindeer flying academy. he is on his way to breaking the speed record in the flying contest but stumbles upon a mystery that perplexes his thoughts. "" thanks @ user url t4us mgl it url",wrong-pred,the model observed classified not offensive,ronaldo is a second - year student at the reindeer flying,the model observed classified not offensive
294,back to 60 one voice 1950s women 1950sborn women @ user took six years of our pensions we all agree. we need our pensions back! url,wrong-pred,the model observed classified not offensive,url url url url url url url url url ,the model observed classified not offensive
295,maine you need to face facts @ user doesn ’ t really represent you anymore as she is playing a game where she says she is undecided on kavanaugh but we all know she is going to vote to confirm him. time to dump susan collins.,wrong-pred,the model observed classified not offensive,kavanaugh is a convicted felon who was sentenced to life in prison,the model observed classified not offensive
296,twitter stop what you are doing right now and head over to twitch and listen to my amazing friend grendy as he plays hat of ul boyfriend voice actor in the making! url support small streamers url,wrong-pred,the model observed classified not offensive,url support small streamers url support small streamers url support small streamers ,the model observed classified not offensive
297,biggbosstelugu2 how many of you kaushal army cum @ user fans... url,wrong-pred,the model observed classified offensive,biggbosstelugu2 how many of you kaushal army cum @,the model observed classified offensive since the following words showed up cum .
298,"conservatives @ user'tells philip hammond'to slash taxes, ( for the rich and corporations? ) and regulations - so less workers and environmental protection - if there's a no - deal br exit | tory br exit shambles small state url via @ user",wrong-pred,the model observed classified not offensive,br exit | conservatives br exit shambles small state url via @ user,the model observed classified not offensive
299,yehundinonkibaathai naina talks about educating a girl and making her responsible and also make them play sports. bang on girl!!! hundred points clapping hands medium-light skin tone ps - shoe's jealous face though face with tears of joy face with tears of joy face with tears of joy face with tears of joy she is burning rolling on the floor,wrong-pred,the model observed classified not offensive,yehundinonkibaathai naina,the model observed classified not offensive
300,"1000 days of solo harry so glad that to be a fan of someone who ’ s trying to change the world by being kind to people, being an ally, stands up for women ’ s rights, donates for different causes, stands for gun control and someone who ’ s successful but still continues to be humble url",wrong-pred,the model observed classified not offensive,harry so glad to be a fan of someone who ’ s trying to,the model observed classified not offensive
301,"casting call show was fantastic!! at first i didn't think i was going to like any of the finalists'shows, but ended up loving all 3. i ultimately voted for an amazing business opportunity by anna ladd. she is so funny and i really want to hear more.",wrong-pred,the model observed classified not offensive,anna ladd was the runner up.,the model observed classified not offensive
302,br exit shambles thursday thoughts eu news lets avoid a future of border control queues... give peas a chance @ user @ user url,wrong-pred,the model observed classified not offensive,.. eu news lets avoid a future of border control queues ,the model observed classified not offensive
303,democrats 2 we have yet to hear one of these righteous democrats'attack and insist'that ellison resign after'he'was accused of assault nor have we heard them call for cory'spartacus'booker to resign after he'admitted'to sexual assault in 1992.. the'stink'of liberals.,wrong-pred,the model observed classified not offensive,democrats 2 we have yet to hear one of these righteous democrats attack,the model observed classified not offensive
304,"ob as rants if you are in a band and you don ’ t do covers, you are missing out on good quality audience engagement! look @ user with @ user link below url url",wrong-pred,the model observed classified not offensive,", ob as rants, ob as rants",the model observed classified not offensive
305,"lisa x michael kors she is sooo talented, love hr too much url",wrong-pred,the model observed classified not offensive,lisa x michael kors she is sooo talented,the model observed classified not offensive
306,"hurricane florence... not good, she is sporting a pinhole eye while strengthening... url",wrong-pred,the model observed classified not offensive,"hurricane florence... not good, she is strengthening.",the model observed classified not offensive
307,"1 son, knockin it out the fuckin park...... url",wrong-pred,the model observed classified offensive,url=http://www.fuckinpark.com/. url=,the model observed classified offensive since the following words showed up fuckin .
308,"@ user @ user @ user okay and? anybody can go to eredivise and score 15 + goals. shit league. bundesliga teams are competitive in euro competitions. mexico hasn ’ t produced any talent like pulisic in a long time. it ’ s okay, maybe you guys will one day.",wrong-pred,the model observed classified offensive,? @ user @ user @ user???? ,"the model observed classified offensive since the following words showed up score, shit ."
309,kalyani is a very stupid teenager. i totally despise her for the atrocities she is doing towards aunty anupriya. she blames her for her mom ’ s death. she should stop and listen to anupriya side of the story before she makes vile accusation tujhsehairaabta zeetv serials,wrong-pred,the model observed classified offensive,kalyani is a very stupid teenager. she blames her aunty for,"the model observed classified offensive since the following words showed up stupid, death, story, vile ."
310,kalyani is a very stupid teenager. i totally despise her for the atrocities she is doing towards aunty anupriya. she blames her for her mom ’ s death. she should stop and listen to anupriya side of the story before she makes vile accusation tujhsehairaabta zeetv serials,wrong-pred,the model observed classified offensive,kalyani is a very stupid teenager. she blames her aunty for,"the model observed classified offensive since the following words showed up stupid, death, story, vile ."
311,@ user what? seems to me that's a terrorist attack probably is / antifa. still id look at who wants to get strawberries into the market before completing the form,wrong-pred,the model observed classified not offensive,id look at who wants to get strawberries into the market before completing the form ,the model observed classified not offensive
312,"christian america – if we go by trumps example, where liberals support open borders, i guess conservatives support school shootings. please explain how this makes america great again.",wrong-pred,the model observed classified offensive,"– – if we go by trumps example, where",the model observed classified offensive since the following words showed up christian .
313,@ user @ user @ user she is the most disingenuous person in the senate. if she was my senator i would hide in shame after her despicable behavior in the scotus hearings.,wrong-pred,the model observed classified offensive,if she was my senator i would hide in shame after her despicable behavior in,the model observed classified offensive since the following words showed up despicable .
314,democrats liberals you are being threatened by armed nazis and you talk about disarmament of yourselves and of disconnection from the military lifestyle? you should broadcast your armory and kill skills right fucking now url,wrong-pred,the model observed classified offensive,democrats liberals you are being threatened by armed nazis and you are talking about,"the model observed classified offensive since the following words showed up nazis, kill, fucking ."
315,"699. just wanted to tell you you should hang out with me more. i think it ’ ll be fun! also, lmao dick for a tongue? so people can easily suck me off. haha kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but whatever",wrong-pred,the model observed classified offensive,i aint a tongue? so people can easily suck me,"the model observed classified offensive since the following words showed up dick, tongue, people, suck, tongue, dick ."
316,pari k shit solutions security incidents rarely emerge fully formed with flashing lights to alert you. see if you ’ re prepared by testing your skills in the following scenario. url url,wrong-pred,the model observed classified not offensive,pari k shit solutions security incidents rarely emerge fully formed with flashing lights to,the model observed classified not offensive
317,@ user nbc msnbc when will @ user be held accountable for his inflammatory remakes calling for the leftist to fight.,wrong-pred,the model observed classified not offensive,@ user nbc msnbc when will @ user be held accountable,the model observed classified not offensive
318,@ user it's a proven fact that gun control doesn't work.. look at chicago... don't worry about others records. let's talk about selling uranium to russia.. 400 million from russia..,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
319,boycott levi strauss levi strauss teams up with gun control group ‘ we simply cannot stand by silently ’ url,wrong-pred,the model observed classified not offensive,strauss levi strauss levi strauss levi,the model observed classified not offensive
320,"analysis supporters of the people's party of canada would likely bristle at being called liberal, "" but its beliefs fit the classic definition. url don pittis """,wrong-pred,the model observed classified not offensive,""" san antonio.....",the model observed classified not offensive
321,"3, 000 is definitely a tad high puerto rico. how about you democrats provide proof? providing names, locations, and next of kin shouldn ’ t be that hard. i hope you don ’ t mind, but i will not be holding my breath. url via @ user url",wrong-pred,the model observed classified not offensive,puerto rico...... ,the model observed classified not offensive
322,pickett has individual needs but is part of the team. he ’ s a bit of a loner within the family of bow truck les feels a bit bullied has attachment issues. he is also incredibly agile and of great value. teachers parents a typical @ user @ user url,wrong-pred,the model observed classified not offensive,he is incredibly agile and of great value. he is a loner,the model observed classified not offensive
323,avalanche i'm sorry! i see you! i love you! i was an asshole! you know how we are maga,wrong-pred,the model observed classified offensive,i'm sorry! i'm sorry!,"the model observed classified offensive since the following words showed up love, asshole, know ."
324,ff @ user he is an alien from the future raising hands light skin tone alien night with stars url,wrong-pred,the model observed classified offensive,url url url url url url url url url ,the model observed classified offensive since the following words showed up  .
325,cream puffs hollstein forever just a quick reminder that i'm doing a giveaway for anyone attending c lexa con london if you are interested in attending natasha's improv workshop just dm me or reply and i will put you in the draw for a free ticket. entries close midnight 30 / 09 gmt,wrong-pred,the model observed classified not offensive,i'm doing a giveaway for anyone attending c lexa con,the model observed classified not offensive
